"case","site","year","crop","incpt","incpt.025","incpt.975","slope","slope.025","slope.975","rng.l","rng.u","rsqur","n","crop2"
"US-Ne3_2003","US-Ne3",2003,"corn",-0.312458693439156,-1.19657893901335,0.208471114024163,0.623659522107535,0.367464534830493,1.05847275763583,0.3,2.5,0.84074497917048,6,"corn"
"US-Ne3_2004","US-Ne3",2004,"soybean",0.078358124768911,0.0292636252022593,0.108594241203533,0.187415325461828,0.115424572046062,0.304306991096713,0.1,0.9,0.924783700512146,5,"soybean"
"US-Ne3_2006","US-Ne3",2006,"soybean",0.0293708679844895,-0.142206948988988,0.122862637804663,0.326077273451677,0.177677638816481,0.598423014679419,0.1,1,0.373808059615041,10,"soybean"
"US-Ne3_2007","US-Ne3",2007,"corn",-0.223292730441158,-0.91877183487633,0.207402342269075,0.65014907740896,0.402623173552504,1.04984971214182,0.4,2.5,0.92661186933193,5,"corn"
"US-Ne3_2008","US-Ne3",2008,"soybean",0.00105532101177436,-0.114848308000918,0.0814983642705315,0.547770177101971,0.380180503646227,0.789236070878414,0.1,0.8,0.790261730611073,10,"soybean"
"US-Ne3_2009","US-Ne3",2009,"corn",-0.199495224712633,-0.349926894483841,-0.0683301726464206,0.583696794416258,0.508939510855204,0.669435051798812,0.2,3,0.966757911977681,11,"corn"
"US-Ne3_2010","US-Ne3",2010,"soybean",0.0480451672528408,-0.104479975738269,0.135388568268032,0.389301675893744,0.222933293007666,0.679825757781572,0.1,0.9,0.654927734721891,8,"soybean"
"US-Ne3_2011","US-Ne3",2011,"corn",-0.11851946373456,-0.250089478090629,-0.00955079523878199,0.608274268320501,0.503783764283453,0.734437295785225,0,2.6,0.972800027116581,7,"corn"
"US-Ne3_2012","US-Ne3",2012,"soybean",0.0185457616871302,-0.0289234694535242,0.0574593894325653,0.378781201872839,0.310511679512427,0.46206055475118,0,0.9,0.939794186123678,10,"soybean"
"US-Ro1_2005","US-Ro1",2005,"corn",-0.310327609303044,-0.536829012010406,-0.113234061602722,0.74087958914556,0.644687339230812,0.85142445370092,0.497727272727273,2.73636363636364,0.970714578974755,10,"corn"
"US-Ro1_2006","US-Ro1",2006,"soybean",0.0611260289517308,-0.025180361986604,0.123452191052441,0.301606299865106,0.217804996033481,0.417650475310204,0.125151515151515,1.04697674418605,0.89000765786106,8,"soybean"
"US-Ro1_2007","US-Ro1",2007,"corn",-0.0403510029632121,-0.063457032730022,-0.0195264071224282,0.458969289733247,0.413651763565008,0.509251567315356,0.124736842105263,1.27421052631579,0.996787184099177,5,"corn"
"US-Ro1_2008","US-Ro1",2008,"soybean",-0.00128108358433177,-0.0765350809619526,0.0525018728522146,0.486014640081838,0.347347717409343,0.680039679361155,0.0455434782608696,0.763695652173913,0.911359324420964,7,"soybean"
"US-Ro1_2009","US-Ro1",2009,"corn",-0.178270926165499,-0.36868571274488,-0.0144627417111591,0.695589548972487,0.598395025877337,0.808570926755883,0.222093023255814,2.65837209302326,0.977127462460159,8,"corn"
"US-Ro1_2010","US-Ro1",2010,"rye",0.0380721008638426,-0.0210349781045264,0.0836405450396372,0.271784916378183,0.209531853137759,0.35253370628155,0.262307692307692,1.07512820512821,0.930643488571064,8,"other"
"US-Ro1_2011","US-Ro1",2011,"corn",-0.155601429012405,-0.251816935043128,-0.0686563290489164,0.77412554559684,0.69953821086505,0.85666565605408,0.0740909090909091,2.45227272727273,0.984505015994829,10,"corn"
"US-Ro3_2004","US-Ro3",2004,"soybean",NA,0.365151345383873,0.947123541520088,NA,-1.42679327508268,-0.288372055430991,0.363392857142857,0.616470588235294,0.0141621062030906,9,"soybean"
"US-Ro3_2005","US-Ro3",2005,"corn",-0.501088672465179,-0.891121909040913,-0.190479058612087,0.902779241558308,0.718943631770636,1.13362205738072,0.433026315789474,2.62828947368421,0.933965100209438,9,"corn"
"US-Ro3_2006","US-Ro3",2006,"soybean",0.189472035827836,0.14246692857144,0.221772510922552,0.246685421113828,0.169514692466377,0.358987743803841,0.108461538461538,0.739777777777778,0.778120201457266,10,"soybean"
"US-Ro3_2007","US-Ro3",2007,"corn",-0.00488771790844642,-0.0217844599144321,0.010860120355814,0.405227313342254,0.377673647885132,0.434791191808344,0.0915,2.12833333333333,0.99852876949268,5,"corn"
"US-Shd_1998","US-Shd",1998,"grass",-0.0924221180098378,-0.164015994032947,-0.0387055214308113,0.578648428700374,0.43415758347198,0.771226892686585,0.09,0.69,0.719914890859633,17,"grass"
"US-Shd_1999","US-Shd",1999,"grass",0.00744439029569732,-0.0241986485180329,0.0324396010404009,0.291197213448199,0.23002012421291,0.368645210544741,0,0.5933,0.754272139022216,21,"grass"
"US-Tw3_2014","US-Tw3",2014,"alfafa",0.0685704015941412,0.0226774238051783,0.0983738864687875,0.319375257355793,0.207406363904083,0.491790864518747,0.02,0.5965,0.345528912737993,17,"other"
"US-Tw3_2015","US-Tw3",2015,"alfafa",0.0552727520070379,0.0291196660734383,0.0763668044006607,0.393678757260519,0.31752583052698,0.488095609925561,0.05,0.5735,0.893433996610037,13,"other"
"US-Twt_2012","US-Twt",2012,"rice",0.00154590384309794,-0.0660532301404605,0.0530059135289487,0.302466363905101,0.230253275433769,0.397327252442445,0.338,0.934,0.787533200572001,15,"other"
"US-Twt_2013","US-Twt",2013,"rice",0.0132199920438953,-0.018874577544504,0.0395512102907604,0.261096057389841,0.214209985012945,0.318244507511635,0.154,0.892,0.889444092456897,15,"other"
"US-Twt_2014","US-Twt",2014,"rice",-0.00333670071871373,-0.0285449352228712,0.0188538524344578,0.328981289251521,0.289598892152912,0.373719277283861,0.115,0.784,0.950253796546548,16,"other"
"US-Twt_2015","US-Twt",2015,"rice",-0.0812492489524769,-0.3023954340448,0.0614610539150118,0.628094731233508,0.405322792642283,0.973305717232291,0.1095,0.85217,0.893917907887817,6,"other"
"US-Var_2002","US-Var",2002,"grass",NA,0.149771960503161,0.229267362530426,NA,0.172787845105898,0.470368636722986,0.0266,0.55,0.0301929982412746,18,"grass"
